part_num,color_id,quantity,is_spare,part_img_url
3005,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/300526.jpg
3794b,0,5,FALSE,https://cdn.rebrickable.com/media/parts/elements/379426.jpg
32062,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4109810.jpg
4740,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211010.jpg
30162,72,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211051.jpg
30553,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210695.jpg
44300,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210882.jpg
3023,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211063.jpg
2540,72,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210660.jpg
6536,72,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210851.jpg
47905,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4213567.jpg
4740,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211512.jpg
11055,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/6011817.jpg
30554b,71,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211663.jpg
298c02,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4221775.jpg
3623,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211429.jpg
3022,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211397.jpg
6141,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211525.jpg
32028,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211568.jpg
2476a,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4237084.jpg
4599b,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211503.jpg
4519,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211815.jpg
32039,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211553.jpg
6541,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211535.jpg
3069b,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211414.jpg
43723,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211794.jpg
43722,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211791.jpg
