part_num,color_id,quantity,is_spare,part_img_url
30374,0,5,FALSE,https://cdn.rebrickable.com/media/parts/elements/6116604.jpg
63965,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4533907.jpg
3941,0,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/614376.jpg
2877,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/287726.jpg
3832,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/383226.jpg
2420,0,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/242026.jpg
3021,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/302126.jpg
3795,0,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/379526.jpg
60474,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4515350.jpg
4081b,0,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/408126.jpg
48336,0,7,FALSE,https://cdn.rebrickable.com/media/parts/elements/4225201.jpg
2540,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/254026.jpg
63868,0,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/6336989.jpg
59443,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4512363.jpg
41677,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4164133.jpg
32054,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4107742.jpg
3070b,0,2,TRUE,https://cdn.rebrickable.com/media/parts/elements/307026.jpg
4150,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/415026.jpg
58247,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4498713.jpg
64567,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4539482.jpg
3002,72,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211105.jpg
44567a,72,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210892.jpg
44570,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4194562.jpg
3832,72,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210678.jpg
6141,72,12,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210633.jpg
4085c,72,3,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210632.jpg
4286,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211045.jpg
3747b,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211064.jpg
4871,72,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211076.jpg
41678,72,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4234599.jpg
32064b,72,4,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/72/32064d.png
41770,72,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210788.jpg
