id,x,y,group,col,pch,y_variable,x_variable
Mphyt,3.6055907124300344,0.8267452275782605,1,red,19,D,H'
Mphyt,3.370575644869037,0.8453171499903975,1,red,19,D,H'
Mphyt,3.2295666043324363,0.8499601305934323,1,red,19,D,H'
Mphyt,3.182563590820236,0.8128162857691574,1,red,19,D,H'
Mphyt,3.1120590705519375,0.7478145573266759,1,red,19,D,H'
Mphyt,3.041554550283637,0.710670712502401,1,red,19,D,H'
Mphyt,2.947548523259238,0.7385285961206076,1,red,19,D,H'
Mphyt,2.877044002990938,0.710670712502401,1,red,19,D,H'
Mphyt,2.806539482722637,0.7013847512963323,1,red,19,D,H'
Mphyt,3.2295666043324363,0.7013847512963323,1,red,19,D,H'
Mphyt,3.159062084064137,0.7199566737084697,1,red,19,D,H'
Mphyt,2.971050030015337,0.6363830228538507,1,red,19,D,H'
Mphyt,2.877044002990938,0.6456689840599199,1,red,19,D,H'
Mphyt,2.8300409894787375,0.6410260034568855,1,red,19,D,H'
Mphyt,2.806539482722637,0.6131681198386789,1,red,19,D,H'
Mphyt,2.6890319489421386,0.6131681198386789,1,red,19,D,H'
Mphyt,2.595025921917738,0.6178111004417133,1,red,19,D,H'
Mphyt,0.05686319225894687,-1.6758213174572687,1,red,19,D,H'
Mphyt,0.17437072603944515,-1.6758213174572687,1,red,19,D,H'
Mphyt,0.2448752463077455,-1.6758213174572687,1,red,19,D,H'
Mphyt,0.08036469901504584,-1.5643897829844438,1,red,19,D,H'
Mphyt,0.03336168550284613,-1.4761731515267904,1,red,19,D,H'
Mphyt,0.15086921928334618,-1.4343863260994811,1,red,19,D,H'
Mphyt,0.15086921928334618,-1.2765249855963123,1,red,19,D,H'
Mphyt,0.22137373955164474,-1.2161662377568652,1,red,19,D,H'
Mphyt,0.2918782598199451,-1.1697364317265215,1,red,19,D,H'
Mphyt,0.15086921928334618,-1.1279496062992123,1,red,19,D,H'
Mphyt,0.36238278008824554,-1.137235567505281,1,red,19,D,H'
Mphyt,0.2918782598199451,-1.0954487420779715,1,red,19,D,H'
Mphyt,0.2448752463077455,-1.0722338390628,1,red,19,D,H'
Mphyt,0.19787223279554578,-1.0443759554445935,1,red,19,D,H'
Mphyt,0.3388812733321448,-0.9747312463990777,1,red,19,D,H'
Mphyt,0.4328873003565441,-0.9143724985596309,1,red,19,D,H'
Mphyt,0.45638880711264496,-0.7843690416746683,1,red,19,D,H'
Mphyt,0.5268933273809453,-0.7518681774534277,1,red,19,D,H'
Mphyt,0.5033918206248444,-0.7379392356443244,1,red,19,D,H'
Mphyt,0.5973978476492439,-0.6775804878048775,1,red,19,D,H'
Mphyt,0.7854099016980443,-0.6497226041866713,1,red,19,D,H'
Mphyt,0.6914038746736451,-0.6218647205684651,1,red,19,D,H'
Mphyt,0.573896340893145,-0.5986498175532933,1,red,19,D,H'
Mphyt,0.573896340893145,-0.5800778951411558,1,red,19,D,H'
Mphyt,0.573896340893145,-0.5429340503168807,1,red,19,D,H'
Mphyt,0.832412915210244,-0.5661489533320525,1,red,19,D,H'
Mphyt,0.7619083949419436,-0.5150761666986745,1,red,19,D,H'
Mphyt,0.8794159287224437,-0.4686463606683309,1,red,19,D,H'
Mphyt,0.7854099016980443,-0.4500744382561932,1,red,19,D,H'
Mphyt,1.0204249692590426,-0.43150251584405575,1,red,19,D,H'
Mphyt,0.6914038746736451,-0.3432858843864024,1,red,19,D,H'
Mphyt,0.9029174354785445,-0.33399992318033367,1,red,19,D,H'
Mphyt,0.949920448990744,-0.31078502016516185,1,red,19,D,H'
Mphyt,1.255440036820043,-0.26899819473785236,1,red,19,D,H'
Mphyt,1.0909294895273431,-0.24114031111964596,1,red,19,D,H'
Mphyt,0.9264189422346434,-0.2504262723257149,1,red,19,D,H'
Mphyt,0.832412915210244,-0.2550692529287495,1,red,19,D,H'
Mphyt,0.9734219557468429,-0.20863944689840563,1,red,19,D,H'
Mphyt,0.9969234625029437,-0.18542454388323337,1,red,19,D,H'
Mphyt,1.0674279827712425,-0.15292367966199305,1,red,19,D,H'
Mphyt,1.1849355165517423,-0.13899473785288974,1,red,19,D,H'
Mphyt,1.1144309962834438,-0.1204228154407525,1,red,19,D,H'
Mphyt,1.1144309962834438,-0.10185089302861461,1,red,19,D,H'
Mphyt,1.3259445570883412,-0.1204228154407525,1,red,19,D,H'
Mphyt,1.537458117893241,-0.0925649318225461,1,red,19,D,H'
Mphyt,1.4669535976249422,-0.07399300941040843,1,red,19,D,H'
Mphyt,1.4199505841127422,-0.050778106395237055,1,red,19,D,H'
Mphyt,1.9604852395030394,0.03279554445938215,1,red,19,D,H'
Mphyt,2.124995786795739,0.09779727290186346,1,red,19,D,H'
Mphyt,1.5609596246493416,0.060653428077588334,1,red,19,D,H'
Mphyt,2.9005455097470385,0.5713812944113696,1,red,19,D,H'
Mphyt,2.7595364692104374,0.5760242750144045,1,red,19,D,H'
Mphyt,2.7595364692104374,0.5945961974265419,1,red,19,D,H'
Mphyt,2.6420289354299373,0.5806672556174379,1,red,19,D,H'
Mphyt,2.6420289354299373,0.5620953332053009,1,red,19,D,H'
Mphyt,2.5480229084055384,0.5528093719992322,1,red,19,D,H'
Mphyt,2.4540168813811385,0.6038821586326102,1,red,19,D,H'
Mphyt,2.712533455698238,0.5295944689840604,1,red,19,D,H'
Mphyt,2.9005455097470385,0.5295944689840604,1,red,19,D,H'
Mphyt,2.877044002990938,0.5017365853658542,1,red,19,D,H'
Mphyt,2.665530442186038,0.48316466295371674,1,red,19,D,H'
Mphyt,2.3600108543567395,0.5388804301901291,1,red,19,D,H'
Mphyt,2.289506334088439,0.5342374495870947,1,red,19,D,H'
Mphyt,2.26600482733234,0.5295944689840604,1,red,19,D,H'
Mphyt,2.26600482733234,0.5063795659688881,1,red,19,D,H'
Mphyt,2.3600108543567395,0.5017365853658542,1,red,19,D,H'
Mphyt,2.3130078408445396,0.492450624159785,1,red,19,D,H'
Mphyt,2.430515374625038,0.4785216823506824,1,red,19,D,H'
Mphyt,2.3130078408445396,0.4042339927021321,1,red,19,D,H'
Mphyt,2.3835123611128384,0.42280591511426957,1,red,19,D,H'
Mphyt,2.5010198948933384,0.4320918763203383,1,red,19,D,H'
Mphyt,2.3835123611128384,0.45066379873247575,1,red,19,D,H'
Mphyt,2.289506334088439,0.4274488957173044,1,red,19,D,H'
Mphyt,2.2190018138201406,0.4274488957173044,1,red,19,D,H'
