part_num,color_id,quantity,is_spare,part_img_url
3009,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/300926.jpg
3003,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/300326.jpg
2877,0,12,FALSE,https://cdn.rebrickable.com/media/parts/elements/287726.jpg
4864b,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/486426.jpg
3022,0,6,FALSE,https://cdn.rebrickable.com/media/parts/elements/302226.jpg
3032,0,8,FALSE,https://cdn.rebrickable.com/media/parts/elements/303226.jpg
3028,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/302826.jpg
3036,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/303626.jpg
6141,0,1,TRUE,https://cdn.rebrickable.com/media/parts/elements/614126.jpg
48336,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4225201.jpg
63868,0,3,FALSE,https://cdn.rebrickable.com/media/parts/elements/6336989.jpg
6179,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/617926.jpg
3660,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/366026.jpg
3705,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/370526.jpg
6541,0,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/654126.jpg
2780,0,1,TRUE,https://cdn.rebrickable.com/media/parts/elements/4121715.jpg
30503,0,8,FALSE,https://cdn.rebrickable.com/media/parts/elements/4160025.jpg
2357,72,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211109.jpg
2458,72,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211087.jpg
3960pr9977,72,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4225832.jpg
30364,72,8,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210723.jpg
3623,72,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211133.jpg
3710,72,14,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211001.jpg
3832,72,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210678.jpg
3021,72,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211043.jpg
3031,72,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4243831.jpg
3035,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211061.jpg
30357,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4212075.jpg
3040b,72,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211135.jpg
3665,72,3,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211096.jpg
4871,72,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211076.jpg
30373,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210640.jpg
41677,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210980.jpg
48933,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4225873.jpg
4855,72,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4210906.jpg
3002,71,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211386.jpg
3062b,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211412.jpg
58846,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4560033.jpg
30365,71,8,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211694.jpg
3023,71,13,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211398.jpg
3020,71,9,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211395.jpg
3039,71,3,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211410.jpg
3747b,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211570.jpg
60219,71,1,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/71/60219.png
3700,71,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211440.jpg
3701,71,3,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211441.jpg
61184,71,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4520320.jpg
3069bpr0086,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4212363.jpg
6636,71,20,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211549.jpg
4162,71,6,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211481.jpg
3068b,71,10,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211413.jpg
2412b,71,16,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211350.jpg
64567,80,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/6546103.jpg
85465,9999,1,FALSE,https://cdn.rebrickable.com/media/parts/photos/9999/8017stk01-9999-512c5b2e-e4ba-4272-ae8c-8b07eaace837.jpg
3622,19,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/362205.jpg
6232,19,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4125228.jpg
32000,19,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4143352.jpg
30366pr0002,40,1,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/40/30366ps1.png
30374,36,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4124108.jpg
6141,36,6,FALSE,https://cdn.rebrickable.com/media/parts/elements/3005741.jpg
