"timescale","netlsd_601_2","netlsd_6600_1"
0.01,0.990061397262421,0.990061895137838
0.0103768193705222,0.989689281150602,0.989689817357209
0.0107678380248444,0.989303325594816,0.989303903087696
0.0111735910194851,0.988903023017057,0.988903644979561
0.0115946335729286,0.988487847769574,0.988488517631009
0.0120315418253672,0.98805725553372,0.988057976988407
0.0124849136270718,0.98761068270211,0.98761145972993
0.0129553693564695,0.98714754574389,0.987148382632422
0.0134435527690482,0.986667240552962,0.986668141921353
0.0139501318782496,0.986169141779027,0.986170112603719
0.014475799869556,0.985652602141334,0.985653647783795
0.0150212760490211,0.985116951725058,0.985118077961681
0.0155873068275443,0.984561497260291,0.984562710314614
0.0161746667422334,0.983985521383623,0.983986827961082
0.0167841595162548,0.983388281882406,0.983389689207786
0.0174166191586207,0.982769010921772,0.982770526779597
0.0180729111054183,0.982126914254598,0.982128547032667
0.018753933404043,0.981461170414626,0.981462929150966
0.0194606179420556,0.980770929893047,0.980772824326533
0.0201939317223454,0.980055314298914,0.980057354923851
0.0209548781863436,0.979313415503841,0.979315613628834
0.0217444985870983,0.978544294771535,0.978546662582958
0.0225638734140894,0.977746981872802,0.977749532503254
0.0234141238717333,0.97692047418677,0.976923221788905
0.0242964134136008,0.976063735789212,0.976066695615358
0.0252119493344467,0.97517569652894,0.975178885016976
0.0261619844222311,0.974255251093409,0.974258685959395
0.0271478186723907,0.973301258064798,0.973304958402884
0.0281708010667087,0.972312538968008,0.972316525358209
0.029232331419215,0.97128787731217,0.971292171936627
0.0303338622916434,0.970226017627463,0.970230644395854
0.0314769009810677,0.969125664499208,0.969130649184058
0.0326630115824352,0.967985481601468,0.967990851984111
0.0338938171288204,0.96680409073254,0.966809876760614
0.035171001812328,0.965580070855048,0.965586304812413
0.0364963132886836,0.964311957143552,0.964318673833629
0.0378715650686657,0.962998240042884,0.96300547698648
0.0392986389996522,0.961637364340731,0.961645161989513
0.0407794878406749,0.960227728258301,0.960236130225136
0.0423161379345089,0.958767682563232,0.958776735870762
0.04391069198045,0.957255529709278,0.957265285058171
0.0455653319115766,0.955689523007698,0.955700035066135
0.047282321880432,0.954067865835657,0.954079193551751
0.0490640113572131,0.952388710887403,0.952400917826367
0.0509128383447049,0.95065015947442,0.950663314182458
0.0528313327143598,0.948850260881254,0.948864437278291
0.0548221196680871,0.946987011784198,0.947002289587745
0.0568879233304891,0.945058355740573,0.945074820923198
0.05903157047646,0.943062182756893,0.943079928039957
0.0612559943992475,0.940996328944781,0.941015454331318
0.063564238924271,0.938858576274133,0.938879189623969
0.0659594625741874,0.936646652433653,0.936668870084102
0.068444942890906,0.934358230809552,0.934382178245295
0.0710240809204638,0.931990930593912,0.932016743169911
0.0737004058669003,0.929542317034885,0.92957014075654
0.0764775799214998,0.927009901841714,0.927039894206719
0.0793594032740076,0.924391143758237,0.924423474664992
0.0823498193126803,0.921683449319393,0.921718302047157
0.0854529200202822,0.918884173805983,0.918921746072362
0.0886729515734147,0.915990622413791,0.916031127515564
0.0920143201528385,0.913000051653979,0.913043719697706
0.0954815979727403,0.909909671002475,0.90995675023181
0.0990795295371942,0.906716644816926,0.906767403044054
0.102813038132378,0.903418094540584,0.903472820689738
0.10668723256343,0.900011101213304,0.900070106984872
0.11070741414516,0.896492708310601,0.89655632997495
0.114879083956192,0.8928599249325,0.892928525263242
0.119207950366445,0.889109729364554,0.889183699721675
0.123699936848278,0.885239073034132,0.885318835608071
0.128361190081958,0.881244884885616,0.881330895114125
0.133198088366574,0.877124076198663,0.877216825369037
0.138217250347879,0.87287354587412,0.87297356392416
0.143425544075018,0.86849018621243,0.868598044744347
0.148830096398533,0.863970889209578,0.864087204731854
0.154438302722498,0.859312553395583,0.859437990808699
0.160257837124139,0.854512091240397,0.854647367583194
0.166296662854775,0.849566437151677,0.84971232562602
0.172563043236462,0.844472556088301,0.844629890380598
0.179065552969238,0.839227452812599,0.839397131731628
0.185813089864445,0.833828181803154,0.834011174254498
0.192814887020195,0.828271857848501,0.828469208166756
0.200080525455621,0.822555667340242,0.822768501000926
0.207619947221214,0.816676880281841,0.816906410015692
0.215443469003189,0.810632863026698,0.810880395359682
0.223561796240478,0.804421091755985,0.804688033998876
0.231986037773692,0.798039166703064,0.798327034414861
0.240727721046074,0.791484827127099,0.791795252076806
0.249798807877256,0.78475596703375,0.78509070568505
0.259211710831406,0.77785065163535,0.778211594178546
0.268979310202152,0.770767134536962,0.771156314492046
0.279114971637539,0.763503875627908,0.763923480041807
0.289632564429116,0.756059559650846,0.756511939910709
0.300546480490206,0.748433115412253,0.748920798694961
0.311871654049304,0.740623735589076,0.741149436965017
0.323623582085561,0.732630897076521,0.733197532282888
0.335818345534322,0.724454381811272,0.725065080706761
0.348472631291726,0.716094297993015,0.716752418701589
0.361603755048481,0.707551101614932,0.708260245361351
0.375229684984064,0.698825618200806,0.69958964483467
0.389369066353757,0.689919064632786,0.690742108830877
0.40404124700218,0.680833070939446,0.681719559068078
0.419266303838216,0.671569701898984,0.672524369508734
0.435065070307563,0.662131478297037,0.663159388211584
0.451459164900511,0.652521397662957,0.653627958611691
0.468471020733939,0.64274295429265,0.643933940023075
0.486123916248023,0.632800158350275,0.634081727141037
0.504442007059659,0.62269755382567,0.624076268304128
0.523450359016175,0.612440235109362,0.613923082258982
0.543174982494583,0.602033861932895,0.603628273155333
0.563642867993284,0.59148467240913,0.59319854348368
0.584882023064938,0.58079949389568,0.5826412046548
0.606921510641044,0.569985751394914,0.571964184908934
0.629791488800657,0.55905147319664,0.561176034233553
0.653523252037666,0.548005293464931,0.550285925962589
0.67814927408311,0.536856451469147,0.539303654727483
0.703703252341116,0.525614787161537,0.528239630431878
0.730220153999275,0.514290732810277,0.517104867927881
0.757736263876537,0.50289530040805,0.505910972083125
0.786289234074115,0.491440064592649,0.494670117944927
0.815918135497332,0.479937140838127,0.483395025731302
0.846663511318905,0.468399158703125,0.472098930408882
0.878567432456834,0.456839229957548,0.460795545655501
0.911673555142801,0.445270911449947,0.449499022050623
0.946027180659862,0.433708162626091,0.438223899390267
0.981675317331174,0.422165297664281,0.426985053084813
1.01866674484456,0.410656932254811,0.415797634667927
1.05705208100098,0.399197925119606,0.404677006522885
1.09688385097818,0.387803314442723,0.393638671018127
1.13821655920433,0.376488249462774,0.382698194336557
1.18110676394006,0.365267917563311,0.371871125381881
1.2256131546708,0.354157467285899,0.361172910248986
1.27179663241547,0.343171927781566,0.350618802852598
1.31972039306138,0.332326125308068,0.340223772417274
1.36945001383924,0.321634597471062,0.330002408640272
1.42105354305689,0.311111505994951,0.319968825444388
1.47460159321419,0.300770548891507,0.310136564337919
1.53016743762679,0.290624872969182,0.300518498490515
1.58782711069079,0.280686987690681,0.291126738713685
1.64765951192565,0.270968681438524,0.281972542599961
1.70974651393752,0.261480941285389,0.273066228121839
1.77417307445096,0.252233877385688,0.264417093017507
1.84102735256216,0.243236653104921,0.256033341291945
1.91040082937282,0.234497421981969,0.247922018136614
1.98238843316975,0.226023272575151,0.24008895451636
2.0570886693215,0.21782018217465,0.232538722586746
2.1346037550697,0.209892980271259,0.225274602987855
2.21503975939966,0.202245322554733,0.218298564911753
2.29850674818152,0.194879676075145,0.211611259661107
2.38511893478059,0.187797316039413,0.205212028208191
2.47499483634305,0.180998334535026,0.199098923029666
2.56825743597069,0.174481661277293,0.193268744237736
2.66503435100683,0.168245096269136,0.18771708975789
