"lambda","specdens_601_2","specdens_6600_1"
0,0.433527176417713,0.711985823184784
0.0100502512562814,0.450514805448212,0.734914579593812
0.0201005025125628,0.459970929295874,0.735260647202794
0.0301507537688442,0.46415211212725,0.713996434517613
0.0402010050251256,0.465458171127821,0.674177548993602
0.050251256281407,0.465666051856915,0.620491324929689
0.0603015075376884,0.46536224256473,0.558641295438504
0.0703517587939698,0.463755242309962,0.494669854973309
0.0804020100502513,0.458928819762272,0.434301327621547
0.0904522613065327,0.448454295546088,0.38236474326404
0.100502512562814,0.430166913309869,0.34234181139876
0.110552763819095,0.402867000532597,0.316081442168782
0.120603015075377,0.366743704179269,0.303718373334319
0.130653266331658,0.323419639004959,0.303817957447963
0.14070351758794,0.275639035367971,0.313735662620142
0.150753768844221,0.226725375181731,0.33013322542842
0.160804020100503,0.179985117842452,0.349549234670726
0.170854271356784,0.138222935214946,0.368900126275929
0.180904522613065,0.103474597102391,0.385802785820953
0.190954773869347,0.0769835590365356,0.398663094768647
0.201005025125628,0.0593746572564008,0.406549992169097
0.21105527638191,0.0509322806288186,0.408944267253197
0.221105527638191,0.0518771810534762,0.405487254649985
0.231155778894472,0.0625512058559902,0.395841412913032
0.241206030150754,0.0834528890264875,0.379717686698686
0.251256281407035,0.115108870971863,0.357048051874618
0.261306532663317,0.157808302567036,0.328218456744919
0.271356783919598,0.211263133176684,0.294253375145105
0.281407035175879,0.274280430165235,0.256865722052027
0.291457286432161,0.344538154968393,0.21834138199261
0.301507537688442,0.418540023279923,0.181289306745065
0.311557788944724,0.491789907921874,0.148329481139061
0.321608040201005,0.559179293182117,0.121797699886581
0.331658291457286,0.615534362944092,0.103521018755673
0.341708542713568,0.656234380478111,0.0946777373738426
0.351758793969849,0.677797923850791,0.0957221061241209
0.361809045226131,0.678339748720635,0.106342128632048
0.371859296482412,0.657824611057832,0.125432064377774
0.381909547738693,0.618078927248665,0.151089929151453
0.391959798994975,0.562560619476077,0.180677123712826
0.402010050251256,0.495926847392142,0.210985424640524
0.412060301507538,0.423473389270148,0.238537402103975
0.422110552763819,0.350541772679744,0.260004049328412
0.4321608040201,0.281993992151828,0.27267384616885
0.442211055276382,0.221835544613871,0.274871800678504
0.452261306532663,0.173027531048478,0.266222544541943
0.462311557788945,0.137477433363129,0.247683764052891
0.472361809045226,0.116151270305119,0.221335693173408
0.482412060301508,0.109223030375556,0.189978378857956
0.492462311557789,0.116180791171264,0.156637725137627
0.50251256281407,0.135842900952155,0.124097873680197
0.512562814070352,0.166291102797681,0.0945584557115892
0.522613065326633,0.204781473445184,0.0694708897846487
0.532663316582915,0.24772739503142,0.0495557830381325
0.542713567839196,0.290845793930367,0.0349605747026739
0.552763819095477,0.329514992000608,0.0254929002011529
0.562814070351759,0.359321381436812,0.0208618705425041
0.57286432160804,0.376697152513135,0.0208709613429675
0.582914572864322,0.379501308457951,0.025524716183279
0.592964824120603,0.367392958641902,0.0350312026310355
0.603015075376884,0.341894215360748,0.0497011348252291
0.613065326633166,0.306124506558531,0.069763600038038
0.623115577889447,0.264278585871485,0.095138111413282
0.633165829145729,0.22098433524486,0.125221001709855
0.64321608040201,0.180692011304642,0.158754769735675
0.653266331658292,0.147211809508129,0.193843667641148
0.663316582914573,0.123448808582056,0.228151711532369
0.673366834170854,0.111312025421191,0.259271763212807
0.683417085427136,0.111725200141886,0.28519747798062
0.693467336683417,0.124657460104057,0.304782655591058
0.703517587939699,0.149121980913289,0.318054951020169
0.71356783919598,0.183144517921765,0.326275340454316
0.723618090452261,0.22375658491284,0.331698768854372
0.733668341708543,0.267095788535946,0.337076572762529
0.743718592964824,0.308683598771082,0.345019039983019
0.753768844221106,0.343899588454005,0.357379301576212
0.763819095477387,0.368598355015252,0.374812509394646
0.773869346733668,0.379749219973934,0.396610609790179
0.78391959798995,0.37594772067583,0.420833823869569
0.793969849246231,0.357668345624539,0.444684136006332
0.804020100502513,0.327196715095959,0.465018446031181
0.814070351758794,0.288273782544277,0.478890344175975
0.824120603015075,0.245571022874349,0.484033627178475
0.834170854271357,0.204162600972576,0.479239661887335
0.844221105527638,0.169150744318229,0.464614374478587
0.85427135678392,0.145535887300516,0.441716177108644
0.864321608040201,0.138322723474753,0.413572530447623
0.874371859296482,0.152746350135869,0.384559003476277
0.884422110552764,0.194420810628504,0.360113467723294
0.894472361809045,0.26918355006834,0.346260096422647
0.904522613065327,0.382453541612866,0.348938395810224
0.914572864321608,0.538044519458523,0.37317132278075
0.92462311557789,0.736563249247208,0.42215859999459
0.934673366834171,0.973733959857885,0.496436404182826
0.944723618090452,1.23915582989574,0.593286235346418
0.954773869346734,1.51604264134162,0.706582644034763
0.964824120603015,1.78235474931503,0.827221998213401
0.974874371859296,2.0134107608619,0.944166051423353
0.984924623115578,2.18563236310541,1.0459817764823
0.994974874371859,2.28066737429727,1.12260531774847
1.00502512562814,2.2889084324845,1.16695924387264
1.01507537688442,2.21148639380083,1.17605532180427
1.0251256281407,2.06017684474127,1.15133290412115
1.03517587939698,1.85520961790748,1.09818345294617
1.04522613065327,1.62153257618501,1.02482629272709
1.05527638190955,1.38446566737343,0.940852831370464
1.06532663316583,1.16577225973164,0.855795315663943
1.07537688442211,0.980965231097086,0.777998921954735
1.08542713567839,0.838250801944891,0.713927374365291
1.09547738693467,0.739044350852308,0.667881264392777
1.10552763819095,0.679614574011185,0.642014239102607
1.11557788944724,0.653218238613253,0.636518564712585
1.12562814070352,0.652099775946309,0.649899121763381
1.1356783919598,0.668908490440059,0.679317697162822
1.14572864321608,0.697353791232735,0.721022651488802
1.15577889447236,0.732187512172336,0.770863438453371
1.16582914572864,0.768796472543191,0.824839760827502
1.17587939698492,0.80276140676153,0.87958862660786
1.18592964824121,0.829682075839742,0.932705243454565
1.19597989949749,0.845413391936417,0.982837986116846
1.20603015075377,0.84666324641393,1.02957418240908
1.21608040201005,0.831738634133296,1.07320153915085
1.22613065326633,0.801148435764714,1.11445140436383
1.23618090452261,0.757802586359263,1.15429222605049
1.24623115577889,0.7066729363597,1.19376727347321
1.25628140703518,0.653953703099013,1.23380717744208
1.26633165829146,0.605918279069994,1.2749405479136
1.27638190954774,0.567761736709095,1.31689056001724
1.28643216080402,0.542717338121691,1.35815453821683
1.2964824120603,0.531645868044815,1.39575690180769
1.30653266331658,0.533152383856323,1.42538073086736
1.31658291457286,0.544135710516059,1.44199026734833
1.32663316582915,0.560570384820918,1.44088060596112
1.33668341708543,0.578290205121214,1.41890365005823
1.34673366834171,0.593590717018245,1.37550731270581
1.35678391959799,0.603569743936112,1.31324549130604
1.36683417085427,0.606236362940299,1.23756857672512
1.37688442211055,0.600494212348779,1.15592814252984
1.38693467336683,0.586117024034733,1.07643504848782
1.39698492462312,0.563784381826389,1.00642063850871
1.4070351758794,0.535163303795006,0.951236263261452
1.41708542713568,0.502949281542418,0.913512502197891
1.42713567839196,0.470755147913369,0.892947495080377
1.43718592964824,0.442770782350559,0.886566861378875
1.44723618090452,0.42319651318237,0.88933152606327
1.4572864321608,0.415543817078236,0.894962395348401
1.46733668341709,0.421960893098048,0.896873305369176
1.47738693467337,0.442752988407948,0.889122723694543
1.48743718592965,0.4762246279339,0.867293044399007
1.49748743718593,0.518890268356172,0.829190193460345
1.50753768844221,0.566009908535304,0.77524787767846
1.51758793969849,0.612334722387199,0.708542258957336
1.52763819095477,0.65291208882623,0.634381383694744
1.53768844221106,0.683801931011534,0.559516637661223
1.54773869346734,0.702587263194977,0.491104495032436
1.55778894472362,0.708606602817596,0.435599202109166
1.5678391959799,0.702882860951918,0.397766081272689
1.57788944723618,0.687768198901144,0.379973049402318
1.58793969849246,0.666368265559047,0.381859710143513
1.59798994974874,0.641852304104625,0.400417398241198
1.60804020100503,0.616790754431124,0.430453088080542
1.61809045226131,0.592674332481712,0.465360237492269
1.62814070351759,0.569742410827445,0.498080413307797
1.63819095477387,0.547178282019062,0.52211148551464
1.64824120603015,0.523627392818725,0.532406013542206
1.65829145728643,0.497892406332653,0.526014873054209
1.66834170854271,0.469593227465732,0.502371524535835
