"network","nodes","edges","density","mean_degree","max_degree","components","transitivity","mean_pathlen"
"601-2",21,40,0.1905,3.81,11,1,0.4382,2.5048
"6600-1",29,64,0.1576,4.414,11,2,0.5625,2.6699
