"timescale","net","obs","sub_lo","sub_hi","null_lo","null_hi"
0.01,"601-2",0.990061397262421,0.990061703439016,0.9911698398272,0.990060488489601,0.990064569321134
0.0103768193705222,"601-2",0.989689281150602,0.989689610784651,0.990839387240247,0.98968830280808,0.989692695282596
0.0107678380248444,"601-2",0.989303325594816,0.989303680481374,0.990496657098589,0.989302272365273,0.98930700021341
0.0111735910194851,"601-2",0.988903023017057,0.98890340508829,0.990141200055781,0.988901889177755,0.988906977929119
0.0115946335729286,"601-2",0.988487847769574,0.988488259105209,0.98977255084163,0.988486627161561,0.988492104280169
0.0120315418253672,"601-2",0.98805725553372,0.988057698372279,0.989390227738157,0.988055941528715,0.988061836558512
0.0124849136270718,"601-2",0.98761068270211,0.987611159452998,0.988993732041475,0.987609268166877,0.987615612888089
0.0129553693564695,"601-2",0.98714754574389,0.987148059000396,0.988582547509468,0.987146023001936,0.987152851599024
0.0134435527690482,"601-2",0.986667240552962,0.986667793106252,0.988156139795195,0.986665601343343,0.986672950585437
0.0139501318782496,"601-2",0.986169141779027,0.986169736633188,0.987713955865945,0.986167377212053,0.986175286646742
0.014475799869556,"601-2",0.985652602141334,0.98565324252956,0.987255423407921,0.985650702650939,0.985659214812407
0.0150212760490211,"601-2",0.985116951725058,0.985117641127059,0.986779950216552,0.985114907017593,0.985124067650131
0.0155873068275443,"601-2",0.984561497260291,0.984562239421013,0.986286923572488,0.98455929625946,0.984569154557471
0.0161746667422334,"601-2",0.983985521383623,0.983986320333393,0.98577570960335,0.983983152171299,0.983993761036979
0.0167841595162548,"601-2",0.983388281882406,0.98338914195858,0.98524565263139,0.983385731634994,0.983397147954966
0.0174166191586207,"601-2",0.982769010921772,0.982769936792033,0.984696074507224,0.982766265841811,0.982778550784068
0.0180729111054183,"601-2",0.982126914254598,0.982127910941994,0.984126273929903,0.98212395949724,0.982137178829846
0.018753933404043,"601-2",0.981461170414626,0.981462243324502,0.983535525753611,0.981457990008616,0.981472214441726
0.0194606179420556,"601-2",0.980770929893047,0.980772084842003,0.982923080281374,0.980767506658058,0.980782812208648
0.0201939317223454,"601-2",0.980055314298914,0.980056557545935,0.982288162546223,0.980051629757944,0.980068098139875
