part_num,color_id,quantity,is_spare,part_img_url
3010,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/301026.jpg
3002,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/300226.jpg
42023,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4160409.jpg
30386,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4167106.jpg
40902,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4162235.jpg
30553,0,3,FALSE,https://cdn.rebrickable.com/media/parts/elements/4143372.jpg
4213,0,2,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/0/4213.png
3710,0,5,FALSE,https://cdn.rebrickable.com/media/parts/elements/371026.jpg
3666,0,5,FALSE,https://cdn.rebrickable.com/media/parts/elements/366626.jpg
3020,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/302026.jpg
2540,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/254026.jpg
3747a,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4500458.jpg
4519,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/451926.jpg
3069bpr0070,0,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4162982.jpg
2412b,0,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/241226.jpg
4859,0,1,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/0/4859.png
3007,1,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/300723.jpg
4315,1,2,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/1/4315.png
3020,1,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/302023.jpg
23306,383,1,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/383/23306.png
2458,8,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4113907.jpg
6249,8,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4100411.jpg
30304,8,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4120145.jpg
30383,8,5,FALSE,https://cdn.rebrickable.com/media/parts/elements/4144572.jpg
3020,8,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4112232.jpg
3032,8,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4116853.jpg
4032a,8,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4107763.jpg
2431,8,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4109979.jpg
2413,8,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4120499.jpg
4859,320,1,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/320/4859.png
41770,320,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4162587.jpg
41769,320,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4162586.jpg
30355,320,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4162210.jpg
30356,320,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4162211.jpg
3933,320,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4162212.jpg
3934,320,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4162213.jpg
4856a,320,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4162480.jpg
30365,7,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4144500.jpg
30552,7,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4143752.jpg
43337,7,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4140812.jpg
3623,7,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/362302.jpg
3035,7,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/303502.jpg
4623,7,2,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/7/4623.png
2444,7,2,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/7/2444.png
30283,7,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4118776.jpg
2412b,7,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/241202.jpg
2432,7,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/243202.jpg
2450,7,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/245002.jpg
30285,7,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4141735.jpg
6232,27,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4164038.jpg
32000,27,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4164110.jpg
41768,27,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4166241.jpg
41767,27,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4166240.jpg
2335,4,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/4162384.jpg
2445,4,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/244521.jpg
3660,4,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/366021.jpg
2431,4,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/243121.jpg
41883,40,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4163015.jpg
30374,41,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4124073.jpg
3004,15,6,FALSE,https://cdn.rebrickable.com/media/parts/elements/300401.jpg
30367bpr0007,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4124159.jpg
2525pr0008,15,1,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/15/2525ps1.png
3623,15,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/362301.jpg
3020,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/302001.jpg
3030,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/303001.jpg
4286,15,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/428601.jpg
3049c,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4167100.jpg
3037pr0017,15,1,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/15/3037ps0.png
3037pr0016,15,1,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/15/3037ps1.png
3069b,15,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/306901.jpg
4162,15,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/416201.jpg
3068b,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/306801.jpg
4150pr0005,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4164206.jpg
42061pr0004,15,1,FALSE,https://cdn.rebrickable.com/media/parts/photos/15/42061pb01-15-41d8d371-9d84-4465-a25c-cf28133d04f6.jpg
42060pr0004,15,1,FALSE,https://cdn.rebrickable.com/media/parts/photos/15/42060pb01-15-6f2ec098-61ff-458e-9428-45f5bd5ee91f.jpg
41748,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4160124.jpg
41747,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4160101.jpg
41770,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4161326.jpg
41769,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4160857.jpg
3003,14,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/300324.jpg
